#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=233 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:48.58 aq:36.30 tex:15662 mv:11433 misc:169 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:48.74 aq:41.33 tex:135 mv:83 misc:318 imb:3 pmb:10 smb:3587 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:48.74 aq:44.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:48.74 aq:47.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:48.74 aq:47.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:7 out:5 type:P dur:2 cpbdur:2 q:48.31 aq:39.01 tex:344 mv:403 misc:533 imb:16 pmb:36 smb:3548 d:- ref:0 ;
in:5 out:6 type:B dur:2 cpbdur:2 q:48.60 aq:47.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:48.45 aq:47.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:10 out:8 type:P dur:2 cpbdur:2 q:48.09 aq:39.10 tex:783 mv:1015 misc:826 imb:44 pmb:77 smb:3479 d:- ref:0 ;
in:8 out:9 type:B dur:2 cpbdur:2 q:48.24 aq:46.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:48.16 aq:47.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
